kepid,orig_score,det_score,delta,koi_depth,koi_period,snr_tier,true_label,error
9631762,0.0067305485717952,0.06972961872816086,0.06299907015636566,660.9,10.35586478,low,1,
11030711,0.0206304974853992,0.0017017200589179993,-0.018928777426481202,2378.8,205.912735,low,1,
6184894,0.0003747139999177,7.29975217836909e-05,-0.0003017164781340091,1832.6,7.20281185,low,1,
10905746,0.4461786448955536,0.2632875144481659,-0.1828911304473877,1472.7,9.8786461,low,1,
6276477,0.2035305947065353,0.23421774804592133,0.030687153339386014,750.6,10.35533116,low,1,
7629518,0.00280965375714,0.0017203382449224591,-0.001089315512217541,867.7,15.59466045,low,1,
10554999,0.0097893197089433,0.15044084191322327,0.14065152220427996,743.2,6.400157105,low,1,
3939150,0.0350009128451347,0.008922933600842953,-0.026077979244291748,241.3,17.32419108,low,1,
9590976,0.0031650040764361,0.030235351994633675,0.027070347918197575,155.8,5.37493289,low,1,
9076513,0.036734614521265,0.046361044049263,0.009626429527997998,244.0,2.437029217,low,1,
5456651,0.0846161693334579,0.09857048094272614,0.01395431160926823,1037.3,11.76307164,low,1,
6690082,0.0197181422263383,0.031037798151373863,0.011319655925035563,266.1,2.1395563,low,1,
3634051,0.071602813899517,0.06056995689868927,-0.011032857000827734,861.0,453.54212,low,1,
10577994,0.0146471625193953,0.01054577250033617,-0.004101390019059129,723.5,8.1808949,low,1,
10552611,0.0132107567042112,0.09735355526208878,0.08414279855787757,327.3,7.0106324,low,1,
9649706,0.001483627827838,0.0003047390782739967,-0.0011788887495640032,147.2,1.569066598,low,1,
8733898,0.0040959571488201,0.0036894967779517174,-0.00040646037086838286,2754.6,1.565412613,low,1,
7765528,0.0001585958380019,1.2097043509129435e-05,-0.00014649879449277057,836.7,7.03932913,low,1,
7455287,0.279376208782196,0.24847938120365143,-0.03089682757854456,1333.6,8.01078456,low,1,
8367644,0.0041413553990423,0.0011345200473442674,-0.003006835351698033,3157.4,22.08551599,low,1,
6693640,0.0710202753543853,0.0930614024400711,0.0220411270856858,316.4,13.71938426,low,1,
10724369,0.0077571594156324,0.07635617256164551,0.0685990131460131,853.0,55.6391882,low,1,
12404086,0.2150256931781768,0.3943633735179901,0.17933768033981332,1510.9,26.39432897,low,1,
5438099,0.0440819971263408,0.032051388174295425,-0.012030608952045371,864.9,7.24022418,low,1,
6838050,0.291585236787796,0.2503807544708252,-0.041204482316970825,602.8,6.51003001,low,1,
