kepid,kepoi_name,koi_disposition,koi_period,koi_depth
7678434,K00892.01,CONFIRMED,10.37168928,1254.9
7678434,K00892.02,CONFIRMED,3.96996298,299.2
7685981,K00893.01,CONFIRMED,4.40841331,549.4
7373451,K00881.02,CONFIRMED,226.8904775,3136.4
7434875,K00884.01,CONFIRMED,9.439459486,3036.1
8349582,K00122.01,CONFIRMED,11.523067458,507.3
7434875,K00884.02,CONFIRMED,20.47748843,1382.4
7434875,K00884.03,CONFIRMED,3.336123113,516.3
7455287,K00886.01,CONFIRMED,8.01078456,1333.6
7455287,K00886.02,CONFIRMED,12.07134205,759.2
7455287,K00886.03,CONFIRMED,20.99587872,767.3
7458762,K00887.01,CONFIRMED,7.41113177,620.5
757450,K00889.01,CONFIRMED,8.884922995,16053.4
7585481,K00890.01,CONFIRMED,8.09888906,6911.1
7663691,K00891.01,CONFIRMED,10.00653012,936.1
5812701,K00012.01,CONFIRMED,17.855221681,9065.2
8039892,K00903.01,CONFIRMED,5.007316661,6932.3
8150320,K00904.01,CONFIRMED,2.211116989,724.2
8150320,K00904.02,CONFIRMED,27.9541337,942.5
11086270,K00124.01,CONFIRMED,12.69104387,252.1
7825899,K00896.01,CONFIRMED,16.23947096,2590.7
7825899,K00896.02,CONFIRMED,6.308201629,1328.5
7849854,K00897.01,CONFIRMED,2.052349884,14280.6
7870390,K00898.01,CONFIRMED,9.7704486,1897.8
7870390,K00898.02,CONFIRMED,5.169804269,1037.4
5094751,K00123.02,CONFIRMED,21.22261195,366.0
7870390,K00898.03,CONFIRMED,20.09017037,1432.1
7907423,K00899.01,CONFIRMED,7.11373257,807.6
7907423,K00899.02,CONFIRMED,3.306551643,509.2
7907423,K00899.03,CONFIRMED,15.36845737,756.1
7938496,K00900.01,CONFIRMED,13.81020318,1309.7
8490993,K00911.01,CONFIRMED,4.093578461,538.6
8490993,K00911.02,CONFIRMED,105.145959,685.4
8505670,K00912.01,CONFIRMED,10.8484518,1675.6
8505670,K00912.02,CONFIRMED,6.66833241,362.3
8544996,K00913.01,CONFIRMED,4.082274889,17859.2
8150320,K00904.03,CONFIRMED,42.1406089,895.5
8150320,K00904.04,CONFIRMED,4.617490562,575.8
8150320,K00904.05,CONFIRMED,10.19849255,634.1
8226994,K00906.01,CONFIRMED,7.15681552,867.0
8226994,K00906.02,CONFIRMED,17.64830851,763.3
8226994,K00906.03,CONFIRMED,4.14810719,175.2
8247638,K00907.01,CONFIRMED,16.51410989,973.5
